Reference,Entered by,Checked by,Animal,Animal sub,Treatment 1,Treatment 2,Detailed description,Country,Season/rain,Storage description,Laboratory ,Storage material,Scale,TAN concentration,TN concentration,Dry matter concentration,pH,Air temp,Slurry temp,Wind speed,Emission from uncovered slurry,Emission units,Measurement method,Measurement method description,Notes 1,Notes 2,Notes 3
Aneja et al 2001,SGS,JL,Pig,,,,Slurry,USA,March,Lagoons,Lagoon,,Full,0.787,1.388,,6.8,nd,17.8,,107.6,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Todd et al. 2001,SGS,,Pig,,,,Slurry,USA,November,Lagoons,Lagoon,,Full,,,,,nd,nd,,1910,ug m-2 min-1,Micromet,"Micromet, tracer gas - Similar site as Aneja et al. 2000",,No information in article about slurry or climate,
Todd et al. 2001,SGS,,Pig,,,,Slurry,USA,May,Lagoons,Lagoon,,Full,,,,,nd,nd,,4775,ug m-2 min-1,Micromet,"Micromet, tracer gas - Similar site as Aneja et al. 2000",,No information in article about slurry or climate,
Harper et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,0.179,,,8,26.9,29.5,1.7,3.88,kg NH3 ha-1 d-1,Micromet,Flux-gradient,"JL corrected method, TAN, and some slurry temp values",,
Harper et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Winter,Lagoons,Lagoon,,Full,0.209,,,7.7,14.8,15.4,1.6,2.35,kg NH3 ha-1 d-1,Micromet,Flux-gradient,,,
Harper et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Spring,Lagoons,Lagoon,,Full,0.226,,,7.6,26.2,27.8,2.9,11.93,kg NH3 ha-1 d-1,Micromet,Flux-gradient,,,
Harper et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Winter,Lagoons,Lagoon,,Full,0.186,,,7.4,10.0,10.3,4.7,1.56,kg NH3 ha-1 d-1,Micromet,Flux-gradient,,,
Harper et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Spring,Lagoons,Lagoon,,Full,0.216,,,7.5,24.6,27.1,1.9,3.79,kg NH3 ha-1 d-1,Micromet,Flux-gradient,,,
Harper et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,0.185,,,7.7,25.8,29.5,11.3,48.88,kg NH3 ha-1 d-1,Micromet,Flux-gradient,,,
Zahn et al. 2001,SGS,,Pig,,,,Slurry,USA,August,Lagoons,Lagoon,,Full,0.917,0.968,0.598,8.1,nd,25.1,1.2,18.0,ng NH3 cm-2 sec-1,Micromet,"Micromet, pH measured in surface",,,
Zahn et al. 2001,SGS,,Pig,,,,Slurry,USA,Sept-Oct,Lagoons,Lagoon,,Full,0.934,0.962,0.604,8.2,nd,21.3,2.3,18.4,ng NH3 cm-2 sec-1,Micromet,"Micromet, pH measured in surface",,,
Zahn et al. 2001,SGS,,Pig,,,,Slurry,USA,Oct.,Lagoons,Lagoon,,Full,0.929,0.977,0.640,8.1,nd,20.6,2.9,18.4,ng NH3 cm-2 sec-1,Micromet,"Micromet, pH measured in surface",,,
Bicudo et al. 2004,SGS,,Pig,,,,Slurry,USA,May - June,Lagoons,Lagoon,,Full,1.700,2.100,1.450,7.7,23.5,nd,,104.0,ug NH3 m-2 s-1,Wind tunnel,Wind tunnel,,Crust during summer,
Bicudo et al. 2004,SGS,,Pig,,,,Slurry,USA,May - June,Lagoons,Lagoon,,Full,2.200,2.800,2.120,7.6,21.9,nd,,100.0,ug NH3 m-2 s-1,Wind tunnel,Wind tunnel,,Crust during summer,
Bicudo et al. 2004,SGS,,Pig,,,,Slurry,USA,May - June,Lagoons,Lagoon,,Full,2.600,3.100,1.850,7.6,21.4,nd,,97.0,ug NH3 m-2 s-1,Wind tunnel,Wind tunnel,,Crust during summer,
Harper et al. 2000,SGS,AP,Pig,,,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,,,,8.0,26.9,29.5,1.7,3.9,kg NH3 ha-1 d-1,IHF,IHF,TKN given in the paper but cannot be related to specific emission campaigns,,
Harper et al. 2000,SGS,AP,Pig,,,,Slurry,USA,Winter,Lagoons,Lagoon,,Full,,,,7.7,14.8,15.4,1.6,2.4,kg NH3 ha-1 d-1,IHF,IHF,TKN given in the paper but cannot be related to specific emission campaigns,,
Harper et al. 2000,SGS,AP,Pig,,,,Slurry,USA,Spring,Lagoons,Lagoon,,Full,,,,7.6,26.2,27.8,2.9,11.9,kg NH3 ha-1 d-1,IHF,IHF,TKN given in the paper but cannot be related to specific emission campaigns,,
Harper et al. 2000,SGS,AP,Pig,,,,Slurry,USA,Winter,Lagoons,Lagoon,,Full,0.234,,,7.4,10.0,10.3,4.7,1.6,kg NH3 ha-1 d-1,IHF,IHF,TKN given in the paper but cannot be related to specific emission campaigns,,
Harper et al. 2000,SGS,AP,Pig,,,,Slurry,USA,Spring,Lagoons,Lagoon,,Full,0.254,,,7.5,24.6,27.1,1.9,3.8,kg NH3 ha-1 d-1,IHF,IHF,TKN given in the paper but cannot be related to specific emission campaigns,,
Harper et al. 2000,SGS,AP,Pig,,,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,0.288,,,7.7,25.8,29.5,11.3,48.9,kg NH3 ha-1 d-1,IHF,IHF,TKN given in the paper but cannot be related to specific emission campaigns,,
Zahn et al. 2001,SGS,AP,Pig,,,,Slurry,USA,August,Lagoons,Lagoon,,Full,0.917,0.968,0.598,8.1,nd,25.1,1.2,18.0,ng NH3 cm-2 sec-1,Micromet,"Micromet, pH measured in surface",,,
Zahn et al. 2001,SGS,AP,Pig,,,,Slurry,USA,Sept-Oct,Lagoons,Lagoon,,Full,0.9,0.962,0.604,8.2,nd,21.3,2.3,18.4,ng NH3 cm-2 sec-1,Micromet,"Micromet, pH measured in surface",,,
Zahn et al. 2001,SGS,AP,Pig,,,,Slurry,USA,Oct.,Lagoons,Lagoon,,Full,0.9,0.977,0.640,8.1,nd,20.6,2.9,18.4,ng NH3 cm-2 sec-1,Micromet,"Micromet, pH measured in surface",,,
Bicudo et al. 2004,SGS,AP,Pig,,,,Slurry,USA,May - June,Lagoons,Lagoon,,Full,1.7,2.1,1.45,7.7,23.5,nd,,104.0,ug NH3 m-2 s-1,Wind tunnel,Wind tunnel,,Crust during summer,
Bicudo et al. 2004,SGS,AP,Pig,,,,Slurry,USA,May - June,Lagoons,Lagoon,,Full,2.2,2.8,2.12,7.6,21.9,nd,,100.0,ug NH3 m-2 s-1,Wind tunnel,Wind tunnel,,Crust during summer,
Bicudo et al. 2004,SGS,AP,Pig,,,,Slurry,USA,May - June,Lagoons,Lagoon,,Full,2.6,3.1,1.85,7.6,21.4,nd,,97,ug NH3 m-2 s-1,Wind tunnel,Wind tunnel,,Crust during summer,
Harper et al. 2004,SGS,AP,Pig,farrow-to-finish,,,Slurry,USA,Annual,Lagoons,Lagoon,,Full,0.637,,,8,nd,18.8,2.4,15,kg NH3-N ha-1 d-1,Micromet,Micromet,should we not include the whole table 1,I replaced average emissions values by values from Tab 3,
